Variety,Location,Year,DaysToHeading,T_l,T_opt,Local_Cumulative_GDD,PRISM_Cumulative_GDD,Stat_Cumulative_GDD
HeadM209_DaysToHeading,BosworthRue,2016,92,10,25,957.7976667083334,911.4370017166667,760.3888888888889
HeadM209_DaysToHeading,BosworthRue,2017,84,10,25,940.9429443916666,907.2409987388888,765.9722222222223
HeadM209_DaysToHeading,BosworthRue,2018,91,10,25,970.2655555555556,929.1869993277778,798.1944444444445
HeadM209_DaysToHeading,BosworthRue,2019,90,10,25,983.5366111222222,959.7199988305556,871.5277777777778
HeadM209_DaysToHeading,BosworthRue,2020,100,10,25,1005.1626110888889,945.2575011166666,775.1111111111111
HeadM209_DaysToHeading,BosworthRue,2021,99,10,25,979.010655425,940.8015322722222,799.5833333333334
HeadM209_DaysToHeading,BosworthRue,2022,88,10,25,931.7766053027777,916.2242312416666,805.25
HeadM209_DaysToHeading,BosworthRue,2023,85,10,25,891.7507720472222,845.5839366805556,783.1388888888889
HeadM209_DaysToHeading,Canal,2016,100,10,25,965.2452777777778,912.5624990444445,962.1111111111111
HeadM209_DaysToHeading,Canal,2017,89,10,25,946.8930556305555,868.9059996611111,845.2802218333334
HeadM209_DaysToHeading,Canal,2018,89,10,25,922.5230555555555,888.1319994944445,890.8055555555555
HeadM209_DaysToHeading,Canal,2019,99,10,25,994.7152777777777,902.9799966861111,952.9444444444445
HeadM209_DaysToHeading,Canal,2020,92,10,25,1009.5080001444444,965.0399966277778,986.5669994361111
HeadM209_DaysToHeading,Canal,2023,78,10,25,844.2801274777778,786.2140836638888,792.8055555555555
HeadM209_DaysToHeading,Canal,2024,83,10,25,945.3980555555555,914.3463311166666,921.1944444444445
HeadM209_DaysToHeading,DelRio,2016,116,10,25,1003.4516666666667,1002.3535017888889,697.8888888888889
HeadM209_DaysToHeading,DelRio,2021,115,10,25,672.8055555555555,868.6442356138889,672.8055555555555
HeadM209_DaysToHeading,DelRio,2022,122,10,25,713.5555555555555,941.70057965,712.6666666666666
HeadM209_DaysToHeading,DelRio,2023,114,10,25,651.6388888888889,910.6180291166667,651.3888888888889
HeadM209_DaysToHeading,ErdmanGallagher,2016,94,10,25,907.921333325,904.3570013083333,855.5
HeadM209_DaysToHeading,ErdmanGallagher,2017,85,10,25,871.4975,843.4579997166667,805.6815559583333
HeadM209_DaysToHeading,ErdmanGallagher,2018,88,10,25,906.0065556361111,876.2304982972222,830.9166666666666
HeadM209_DaysToHeading,ErdmanGallagher,2019,93,10,25,952.3055555555555,903.2719960416667,908.4444444444445
HeadM209_DaysToHeading,ErdmanGallagher,2020,95,10,25,962.3655555555556,918.6189985277778,896.9722222222223
HeadM209_DaysToHeading,ErdmanGallagher,2021,95,10,25,922.7764274138889,836.9014830638889,800.5557498944445
HeadM209_DaysToHeading,ErdmanGallagher,2023,92,10,25,937.1332278166667,840.7877368944445,819.4166666666666
HeadM209_DaysToHeading,ErdmanGallagher,2024,87,10,25,915.3830555555555,887.6756839833333,865.6388888888889
HeadM209_DaysToHeading,LarrabeeSheppard,2016,93,10,25,963.5661666166667,936.2209996944445,844.1666666666666
HeadM209_DaysToHeading,LarrabeeSheppard,2017,84,10,25,945.5519444444444,911.8759994416666,855.6666666666666
HeadM209_DaysToHeading,LarrabeeSheppard,2018,87,10,25,952.44294485,950.9675049861111,859.1388888888889
HeadM209_DaysToHeading,LarrabeeSheppard,2019,97,10,25,989.4707778472223,939.5704989555555,911.1388888888889
HeadM209_DaysToHeading,LarrabeeSheppard,2020,93,10,25,962.9052777777778,905.2260026916667,802.5555555555555
HeadM209_DaysToHeading,LarrabeeSheppard,2021,92,10,25,984.7386333388889,944.0805792805556,858.2222222222222
HeadM209_DaysToHeading,LarrabeeSheppard,2022,96,10,25,1034.8231776722223,1011.2855291305556,947.3888888888889
HeadM209_DaysToHeading,LarrabeeSheppard,2023,88,10,25,954.8247222222222,901.3582334583333,867.1388888888889
HeadM209_DaysToHeading,LarrabeeSheppard,2024,85,10,25,976.8322222222222,940.2527804444444,872.5277777777778
HeadM209_DaysToHeading,Lauppe,2016,95,10,25,930.4994446361111,859.7665004555556,754.2222222222222
HeadM209_DaysToHeading,Lauppe,2017,82,10,25,867.8151664805555,811.4370016888889,746.3888888888889
HeadM209_DaysToHeading,Lauppe,2018,88,10,25,900.8254998777778,834.51650095,769.5
HeadM209_DaysToHeading,Lauppe,2019,92,10,25,909.3244444444445,835.6384987805556,800.9444444444445
HeadM209_DaysToHeading,Lauppe,2020,88,10,25,894.4272222222222,816.69000005,726.5
HeadM209_DaysToHeading,Lauppe,2021,95,10,25,951.0469444444444,853.0871305527778,782.6944444444445
HeadM209_DaysToHeading,Lauppe,2022,97,10,25,923.8902943388889,901.7004318055556,791.9166666666666
HeadM209_DaysToHeading,Lauppe,2023,91,10,25,933.5558333333333,904.926281925,850.3333333333334
HeadM209_DaysToHeading,Lauppe,2024,84,10,25,911.5708333333333,863.8350315222223,791.32992755
HeadM209_DaysToHeading,Rehmann,2017,98,10,25,924.9066111027778,946.2705016166667,932.3601671861111
HeadM209_DaysToHeading,Rehmann,2018,100,10,25,905.6967226111111,913.2105012027778,917.5555555555555
HeadM209_DaysToHeading,Rehmann,2019,104,10,25,942.5555555555555,939.5835008666667,917.7222222222222
HeadM209_DaysToHeading,Rehmann,2021,92,10,25,893.8790167111111,873.175683975,796.9444444444445
HeadM209_DaysToHeading,Schohr,2016,89,10,25,936.62,926.6694998805556,925.2777777777778
HeadM209_DaysToHeading,Schohr,2017,86,10,25,963.585777675,965.5950012027778,999.5364999777778
HeadM209_DaysToHeading,Schohr,2018,87,10,25,933.5427777777778,967.2785015166667,978.7084999083334
HeadM209_DaysToHeading,Schohr,2019,93,10,25,974.62,877.6649927916667,888.0833333333334
HeadM209_DaysToHeading,Schohr,2020,94,10,25,970.0067224388889,921.8994956055556,909.9444444444445
HeadM209_DaysToHeading,Schohr,2021,100,10,25,963.6666666666666,999.4995298333333,962.5089502333334
HeadM209_DaysToHeading,Schohr,2022,104,10,25,982.8641666666666,920.4424824722222,925.75
HeadM209_DaysToHeading,Schohr,2023,91,10,25,947.7808333333334,879.2840790611111,883.3888888888889
HeadM209_DaysToHeading,Schohr,2024,90,10,25,987.3767882694444,976.5387311055556,969.0555555555555
HeadM209_DaysToHeading,Wylie,2016,94,10,25,968.0097779583333,907.7749981833333,962.1388888888889
HeadM209_DaysToHeading,Wylie,2017,89,10,25,937.8941666666667,876.4610018638889,879.7578338000001
HeadM209_DaysToHeading,Wylie,2018,90,10,25,965.7974444555556,922.7004980916666,931.1111111111111
HeadM209_DaysToHeading,Wylie,2019,99,10,25,1022.7608332,963.6930017388889,985.6111111111111
HeadM209_DaysToHeading,Wylie,2020,94,10,25,951.0427775666667,894.1579999833333,917.0277777777777
HeadM209_DaysToHeading,Wylie,2021,96,10,25,1020.4759498416666,976.7706308472223,940.1111111111111
HeadM209_DaysToHeading,Wylie,2022,97,10,25,989.9511111111111,972.4538297583333,905.7777777777778
HeadM209_DaysToHeading,Wylie,2023,88,10,25,919.1944110333334,907.0197367694444,893.8888888888889
HeadM209_DaysToHeading,BosworthRue,2016,92,10,26,999.2976667083334,953.9575019,800.5
HeadM209_DaysToHeading,BosworthRue,2017,84,10,26,979.9429443916666,946.646998875,803.3611111111111
HeadM209_DaysToHeading,BosworthRue,2018,91,10,26,1011.7225,972.4329996166666,838.3055555555555
HeadM209_DaysToHeading,BosworthRue,2019,90,10,26,1028.1257777888889,1005.2199988305556,916.3611111111111
HeadM209_DaysToHeading,BosworthRue,2020,100,10,26,1047.4195555333333,988.5255007666666,812.8055555555555
HeadM209_DaysToHeading,BosworthRue,2021,99,10,26,1023.800655425,986.9234814694445,841.75
HeadM209_DaysToHeading,BosworthRue,2022,88,10,26,971.553827525,959.7613806694444,846.1944444444445
HeadM209_DaysToHeading,BosworthRue,2023,85,10,26,928.1413276027778,885.8415841972222,821.4444444444445
HeadM209_DaysToHeading,Canal,2016,100,10,26,1004.1750000000001,953.2109994888889,1003.4166666666666
HeadM209_DaysToHeading,Canal,2017,89,10,26,984.2238889638888,906.9704995166667,882.2246662777778
HeadM209_DaysToHeading,Canal,2018,89,10,26,961.9030555555555,929.8434996638889,932.2777777777778
HeadM209_DaysToHeading,Canal,2019,99,10,26,1035.8866666666665,944.4484958694444,996
HeadM209_DaysToHeading,Canal,2020,92,10,26,1051.9005001444445,1008.0494971305556,1028.9281105472223
HeadM209_DaysToHeading,Canal,2023,78,10,26,880.7706830333333,823.9862832944444,830.9444444444445
HeadM209_DaysToHeading,Canal,2024,83,10,26,986.3916666666667,955.3463311166666,962.25
HeadM209_DaysToHeading,DelRio,2016,116,10,26,1049.3233333333333,1053.202001086111,735.25
HeadM209_DaysToHeading,DelRio,2021,115,10,26,708.25,913.6301851305556,708.25
HeadM209_DaysToHeading,DelRio,2022,122,10,26,748.75,987.16727925,747.3611111111111
HeadM209_DaysToHeading,DelRio,2023,114,10,26,680.0555555555555,951.7916283611111,679.3055555555555
HeadM209_DaysToHeading,ErdmanGallagher,2016,94,10,26,950.3354999916667,947.5125007666667,898.4166666666666
HeadM209_DaysToHeading,ErdmanGallagher,2017,85,10,26,909.9975,881.5095000361111,843.9315559583333
HeadM209_DaysToHeading,ErdmanGallagher,2018,88,10,26,947.387944525,917.7329988305556,871.7222222222222
HeadM209_DaysToHeading,ErdmanGallagher,2019,93,10,26,995.5494444444445,946.4814963555556,952.4166666666667
HeadM209_DaysToHeading,ErdmanGallagher,2020,95,10,26,1003.7575,960.8709983805555,938.6944444444445
HeadM209_DaysToHeading,ErdmanGallagher,2021,95,10,26,967.1317051916667,879.9014830638889,841.5279721166667
HeadM209_DaysToHeading,ErdmanGallagher,2023,92,10,26,981.9337833722223,881.5110340138889,861.5277777777778
HeadM209_DaysToHeading,ErdmanGallagher,2024,87,10,26,958.2144444444444,930.0561828694445,908.1111111111111
HeadM209_DaysToHeading,LarrabeeSheppard,2016,93,10,26,1003.1092221722222,976.5294990305556,883.7777777777777
HeadM209_DaysToHeading,LarrabeeSheppard,2017,84,10,26,983.7905555555556,950.3759994416666,893.1666666666666
HeadM209_DaysToHeading,LarrabeeSheppard,2018,87,10,26,991.65294485,992.009004125,898.1666666666667
HeadM209_DaysToHeading,LarrabeeSheppard,2019,97,10,26,1030.5455000694444,981.8809991,952.9166666666666
HeadM209_DaysToHeading,LarrabeeSheppard,2020,93,10,26,1000.2788888888889,944.6670026777778,837.7222222222222
HeadM209_DaysToHeading,LarrabeeSheppard,2021,92,10,26,1026.5336333388889,986.3358292583333,898.0555555555555
HeadM209_DaysToHeading,LarrabeeSheppard,2022,96,10,26,1078.9256776722223,1057.2903785666667,991.9166666666666
HeadM209_DaysToHeading,LarrabeeSheppard,2023,88,10,26,994.1694444444445,944.0148830472223,908.2777777777778
HeadM209_DaysToHeading,LarrabeeSheppard,2024,85,10,26,1018.8322222222222,982.359580525,913.0277777777778
HeadM209_DaysToHeading,Lauppe,2016,95,10,26,970.3552779694444,900.3105001277778,792.3055555555555
HeadM209_DaysToHeading,Lauppe,2017,82,10,26,905.3046109249999,849.4370016888889,782.7777777777778
HeadM209_DaysToHeading,Lauppe,2018,88,10,26,939.8016109888889,873.7810006166667,807.6111111111111
HeadM209_DaysToHeading,Lauppe,2019,92,10,26,947.9477777777778,874.9779992083334,840.8888888888889
HeadM209_DaysToHeading,Lauppe,2020,88,10,26,930.4188888888889,854.9084992333334,762.1944444444445
HeadM209_DaysToHeading,Lauppe,2021,95,10,26,993.5722222222222,896.2404298833334,823.8611111111111
HeadM209_DaysToHeading,Lauppe,2022,97,10,26,964.8066832277777,945.0695810138889,832.0277777777778
HeadM209_DaysToHeading,Lauppe,2023,91,10,26,971.1983333333334,945.4405298166666,892.1388888888889
HeadM209_DaysToHeading,Lauppe,2024,84,10,26,953.5708333333333,904.3350315222223,830.4132608833334
HeadM209_DaysToHeading,Rehmann,2017,98,10,26,970.5602222138889,991.8755011611112,977.8601671861111
HeadM209_DaysToHeading,Rehmann,2018,100,10,26,949.5867226111111,956.4260010805556,962.2222222222223
HeadM209_DaysToHeading,Rehmann,2019,104,10,26,986.5763888888889,984.8790006666667,963.9444444444445
HeadM209_DaysToHeading,Rehmann,2021,92,10,26,938.1773500444444,917.3598337166667,839.4444444444445
HeadM209_DaysToHeading,Schohr,2016,89,10,26,975.6527777777778,966.3554997527777,966.5833333333334
HeadM209_DaysToHeading,Schohr,2017,86,10,26,1004.0063332305556,1006.0950012027778,1040.3142777555556
HeadM209_DaysToHeading,Schohr,2018,87,10,26,972.6933333333333,1008.586501125,1021.0418332416666
HeadM209_DaysToHeading,Schohr,2019,93,10,26,1015.7705555555556,916.5049929444444,927.2777777777778
HeadM209_DaysToHeading,Schohr,2020,94,10,26,1009.4417224388889,962.0099959444444,949.9722222222222
HeadM209_DaysToHeading,Schohr,2021,100,10,26,1009.4722222222223,1045.626279825,1008.3145057888889
HeadM209_DaysToHeading,Schohr,2022,104,10,26,1023.8919444444444,962.3076319694444,970.25
HeadM209_DaysToHeading,Schohr,2023,91,10,26,987.4727777777778,921.1663775305556,926.1111111111111
HeadM209_DaysToHeading,Schohr,2024,90,10,26,1032.0542882694444,1021.2737803527777,1014.0555555555555
HeadM209_DaysToHeading,Wylie,2016,94,10,26,1007.5033890694444,948.9739975861112,1003.9444444444445
HeadM209_DaysToHeading,Wylie,2017,89,10,26,976.2780555555555,914.6080021777777,917.7022782444444
HeadM209_DaysToHeading,Wylie,2018,90,10,26,1006.2932777888889,965.4279980527778,974.0833333333334
HeadM209_DaysToHeading,Wylie,2019,99,10,26,1065.1508332,1007.6200017833334,1029.3055555555554
HeadM209_DaysToHeading,Wylie,2020,94,10,26,989.3608331222222,933.6639995472223,954.0277777777777
HeadM209_DaysToHeading,Wylie,2021,96,10,26,1065.0409498416666,1022.3645296222222,985.4166666666666
HeadM209_DaysToHeading,Wylie,2022,97,10,26,1035.841111111111,1019.2262792527778,950.8611111111111
HeadM209_DaysToHeading,Wylie,2023,88,10,26,959.4794110333333,950.0687365555556,937.0277777777778
HeadM209_DaysToHeading,BosworthRue,2016,92,10,27,1039.964333375,995.7550025111111,839.7222222222222
HeadM209_DaysToHeading,BosworthRue,2017,84,10,27,1018.2484999472222,985.4889988833334,840
HeadM209_DaysToHeading,BosworthRue,2018,91,10,27,1052.2711111111112,1014.4594993638889,876.5555555555555
HeadM209_DaysToHeading,BosworthRue,2019,90,10,27,1072.015777788889,1050.0414996083334,960.8611111111111
HeadM209_DaysToHeading,BosworthRue,2020,100,10,27,1087.4562222,1029.9540009416667,849.25
HeadM209_DaysToHeading,BosworthRue,2021,99,10,27,1067.300655425,1031.941730025,883.25
HeadM209_DaysToHeading,BosworthRue,2022,88,10,27,1009.3529941916667,1001.8099284166667,885.8611111111111
HeadM209_DaysToHeading,BosworthRue,2023,85,10,27,961.9466053805555,923.7677316555555,856.6666666666666
HeadM209_DaysToHeading,Canal,2016,100,10,27,1040.0216666666668,992.0794992444445,1043
HeadM209_DaysToHeading,Canal,2017,89,10,27,1019.5647222972221,944.3250002861112,917.7802218333334
HeadM209_DaysToHeading,Canal,2018,89,10,27,999.0794444444444,970.3694996861111,971.5555555555555
HeadM209_DaysToHeading,Canal,2019,99,10,27,1075.5091666666667,984.4609956777778,1037.6944444444443
HeadM209_DaysToHeading,Canal,2020,92,10,27,1093.3824445888888,1049.5819973972223,1070.2614438805556
HeadM209_DaysToHeading,Canal,2023,78,10,27,914.1383327222222,859.5964813111111,866.7777777777778
HeadM209_DaysToHeading,Canal,2024,83,10,27,1026.4524999999999,995.9052805888889,1003.1111111111111
HeadM209_DaysToHeading,DelRio,2016,116,10,27,1091.025,1102.6905016805556,769.8333333333334
HeadM209_DaysToHeading,DelRio,2021,115,10,27,742.6666666666666,957.6623840388888,742.6666666666666
HeadM209_DaysToHeading,DelRio,2022,122,10,27,782.8888888888889,1030.7993278555555,781
HeadM209_DaysToHeading,DelRio,2023,114,10,27,706.75,989.404225825,705.5
HeadM209_DaysToHeading,ErdmanGallagher,2016,94,10,27,991.5610555472223,989.7105007222223,940.4166666666666
HeadM209_DaysToHeading,ErdmanGallagher,2017,85,10,27,948.2838888888889,919.5095000361111,881.9315559583333
HeadM209_DaysToHeading,ErdmanGallagher,2018,88,10,27,987.1376667472222,957.6484994722223,911.2222222222222
HeadM209_DaysToHeading,ErdmanGallagher,2019,93,10,27,1037.7080555555556,988.4459958305556,995.3055555555555
HeadM209_DaysToHeading,ErdmanGallagher,2020,95,10,27,1043.5011111111112,1001.2259988777778,979.3611111111111
HeadM209_DaysToHeading,ErdmanGallagher,2021,95,10,27,1010.4128163027777,922.1493325277778,882.0279721166667
HeadM209_DaysToHeading,ErdmanGallagher,2023,92,10,27,1024.1654500388888,918.1349821138889,902.5555555555555
