Variety,Location,Year,DaysToHeading,T_l,T_opt,Local_Cumulative_GDD,PRISM_Cumulative_GDD,Stat_Cumulative_GDD
HeadM210_DaysToHeading,BosworthRue,2016,86,10,25,895.9921111527777,846.5475015750001,708.1111111111111
HeadM210_DaysToHeading,BosworthRue,2017,78,10,25,876.4134999472222,843.6059989861111,706.5
HeadM210_DaysToHeading,BosworthRue,2018,83,10,25,893.7488888888888,848.4489998888889,735.9166666666666
HeadM210_DaysToHeading,BosworthRue,2019,84,10,25,919.3327222333334,894.025499338889,812.7222222222222
HeadM210_DaysToHeading,BosworthRue,2020,95,10,25,954.4306666444445,895.1880006694445,728.9444444444445
HeadM210_DaysToHeading,BosworthRue,2021,94,10,25,929.6264887583334,889.8870329916666,755.9722222222223
HeadM210_DaysToHeading,BosworthRue,2022,85,10,25,899.4393830805556,881.3735318194445,775.5833333333334
HeadM210_DaysToHeading,BosworthRue,2023,81,10,25,843.209660936111,794.0277376083334,734.6111111111111
HeadM210_DaysToHeading,Canal,2016,91,10,25,865.1341666666667,810.2200002638889,857.1666666666666
HeadM210_DaysToHeading,Canal,2017,83,10,25,878.4233334083333,803.1969990722222,780.0302218333334
HeadM210_DaysToHeading,Canal,2018,84,10,25,864.1786111111111,830.5509991666667,833.3333333333334
HeadM210_DaysToHeading,Canal,2019,89,10,25,887.2508333333333,799.0654974027777,849.2777777777777
HeadM210_DaysToHeading,Canal,2020,85,10,25,925.4918890333333,879.0029964444444,902.0114438805556
HeadM210_DaysToHeading,Canal,2023,73,10,25,791.4462385888888,733.8851356444444,742.1111111111111
HeadM210_DaysToHeading,Canal,2024,76,10,25,866.8188888888889,835.6972832638888,842.6111111111111
HeadM210_DaysToHeading,DelRio,2016,105,10,25,902.5944444444444,901.2785010305555,600.9444444444445
HeadM210_DaysToHeading,DelRio,2021,109,10,25,630.25,812.7509369888888,630.25
HeadM210_DaysToHeading,DelRio,2022,111,10,25,633.1944444444445,830.9125819333334,632.3055555555555
HeadM210_DaysToHeading,DelRio,2023,110,10,25,610.7777777777778,864.3447298972222,610.5277777777778
HeadM210_DaysToHeading,ErdmanGallagher,2016,90,10,25,869.8332777694445,863.6315012027777,817.1388888888889
HeadM210_DaysToHeading,ErdmanGallagher,2017,82,10,25,841.2955555555556,813.2069997888889,776.7926670694445
