Location,Date,Year,Plant_Date,Days_After_Planting,County,LocMinTempC,LocMaxTempC,LocMinTempF,LocMaxTempF,PRISMMinTempC,PRISMMaxTempC,PRISMMinTempF,PRISMMaxTempF,CIMIS,StatMinTempC,StatMaxTempC,StatMinTempF,StatMaxTempF,MINDif_OUT,MAXDif_OUT,HeadM105,HeadM206,HeadM209,HeadM210,HeadM211,HeadM401,HeadM105_DaysToHeading,HeadM206_DaysToHeading,HeadM209_DaysToHeading,HeadM210_DaysToHeading,HeadM211_DaysToHeading,HeadM401_DaysToHeading
BosworthRue,2016-06-03,2016,2016-05-16,18,Yuba,20,36.05555555555556,68,96.9,15.00800037222222,36.541999816666674,59.01440067,97.77559967,Verona235,14.055555555555554,38.611111111111114,57.3,101.5,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-04,2016,2016-05-16,19,Yuba,21.166666666666664,31.944444444444443,70.1,89.5,17.708999633333335,38.98600005555555,63.87619934,102.1748001,Verona235,16.77777777777778,32.611111111111114,62.2,90.7,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-05,2016,2016-05-16,20,Yuba,20.888888888888886,35.666666666666664,69.6,96.2,18.04400062777778,34.36500167777777,64.47920113,93.85700302,Verona235,16,38.72222222222222,60.8,101.7,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-06,2016,2016-05-16,21,Yuba,20.055555555555554,34,68.1,93.2,17.676000594444442,38.17100144444444,63.81680107,100.7078026,Verona235,13.833333333333334,34,56.9,93.2,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-07,2016,2016-05-16,22,Yuba,17.11111111111111,31.72222222222222,62.8,89.1,16.863000872222226,36.46400070000001,62.35340157,97.63520126,Verona235,14.166666666666666,30.055555555555557,57.5,86.1,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-08,2016,2016-05-16,23,Yuba,15.333333333333334,29.166666666666668,59.6,84.5,14.66899967222222,33.985000611111104,58.40419941,93.1730011,Verona235,13.38888888888889,29.61111111111111,56.1,85.3,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-09,2016,2016-05-16,24,Yuba,14.88888888888889,28.22222222222222,58.8,82.8,14.199000361111112,31.929000855555557,57.55820065,89.47220154,Verona235,12.944444444444443,27.77777777777778,55.3,82,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-10,2016,2016-05-16,25,Yuba,16.22222222222222,27.333333333333332,61.2,81.2,13.697999955555554,30.13699912777778,56.65639992,86.24659843,Verona235,13.38888888888889,28.000000000000004,56.1,82.4,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-11,2016,2016-05-16,26,Yuba,14.555555555555555,29.555555555555557,58.2,85.2,12.720000266666666,29.141000750000003,54.89600048,84.45380135,Verona235,9.833333333333336,31,49.7,87.8,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-12,2016,2016-05-16,27,Yuba,16.055555555555557,30.11111111111111,60.9,86.2,13.609000205555553,31.75799942222222,56.49620037,89.16439896,Verona235,12.833333333333334,30.444444444444443,55.1,86.8,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-13,2016,2016-05-16,28,Yuba,15.777777777777779,26.888888888888893,60.4,80.4,15.133999822222222,32.494998933333335,59.24119968,90.49099808,Verona235,12.444444444444445,27.5,54.4,81.5,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-14,2016,2016-05-16,29,Yuba,14.88888888888889,24,58.8,75.2,14.394000055555555,29.836000444444444,57.9092001,85.7048008,Verona235,12.055555555555557,25.33333333333333,53.7,77.6,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-15,2016,2016-05-16,30,Yuba,12.888888888888891,20.555555555555557,55.2,69,12.246000288888888,25.541000366666665,54.04280052,77.97380066,Verona235,10.444444444444443,22.16666666666667,50.8,71.9,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-16,2016,2016-05-16,31,Yuba,12,21.38888888888889,53.6,70.5,10.928000449999997,21.698999405555558,51.67040081,71.05819893,Verona235,9.666666666666666,24.833333333333332,49.4,76.7,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-17,2016,2016-05-16,32,Yuba,14.000000000000002,23.277777777777782,57.2,73.9,10.760000227777779,24.107000350000003,51.36800041,75.39260063,Verona235,11.500000000000002,24.777777777777775,52.7,76.6,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-18,2016,2016-05-16,33,Yuba,15,24.88888888888889,59,76.8,13.781000138888889,25.14599991111111,56.80580025,77.26279984,Verona235,11.333333333333334,25.888888888888886,52.4,78.6,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-19,2016,2016-05-16,34,Yuba,12.833333333333334,29.555555555555557,55.1,85.2,12.402999877777777,26.600000383333334,54.32539978,79.88000069,Verona235,10.055555555555555,31.833333333333332,50.1,89.3,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-20,2016,2016-05-16,35,Yuba,15.722222222222221,32.888888888888886,60.3,91.2,13.10700035,32.01800155555556,55.59260063,89.6324028,Verona235,10.444444444444443,36,50.8,96.8,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-21,2016,2016-05-16,36,Yuba,15.88888888888889,34.94444444444444,60.6,94.9,14.461999894444444,35.16999816666666,58.03159981,95.3059967,Verona235,11.166666666666666,35.94444444444444,52.1,96.7,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-22,2016,2016-05-16,37,Yuba,16,32,60.8,89.6,15.112999916666663,37.51200103888888,59.20339985,99.52160187,Verona235,14.055555555555554,32.166666666666664,57.3,89.9,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-23,2016,2016-05-16,38,Yuba,15.444444444444445,30.166666666666668,59.8,86.3,16.11499977222222,35.30099868888889,61.00699959,95.54179764,Verona235,13.055555555555555,31.88888888888889,55.5,89.4,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-24,2016,2016-05-16,39,Yuba,15.5,30.444444444444443,59.9,86.8,15.220000266666666,33.73099899444444,59.39600048,92.71579819,Verona235,12,31.166666666666668,53.6,88.1,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-25,2016,2016-05-16,40,Yuba,15.777777777777779,34,60.4,93.2,15.319000244444444,33.10100173888889,59.57420044,91.58180313,Verona235,12,36.666666666666664,53.6,98,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-26,2016,2016-05-16,41,Yuba,18.444444444444443,36.166666666666664,65.2,97.1,16.086999894444446,37.369998933333335,60.95659981,99.26599808,Verona235,13.777777777777777,39.111111111111114,56.8,102.4,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-27,2016,2016-05-16,42,Yuba,19.61111111111111,38,67.3,100.4,16.266000750000003,38.784000388888884,61.27880135,101.8112007,Verona235,14.277777777777779,39.166666666666664,57.7,102.5,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-28,2016,2016-05-16,43,Yuba,19.88888888888889,37.888888888888886,67.8,100.2,18.649000166666667,40.33800127777777,65.5682003,104.6084023,Verona235,14.166666666666666,38.55555555555556,57.5,101.4,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-29,2016,2016-05-16,44,Yuba,19.61111111111111,35.22222222222222,67.3,95.4,18.475000383333334,39.8689995,65.25500069,103.7641991,Verona235,12.777777777777779,36.44444444444444,55,97.6,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-06-30,2016,2016-05-16,45,Yuba,17.88888888888889,35.388888888888886,64.2,95.7,16.375999450000002,37.97200011111111,61.47679901,100.3496002,Verona235,10.333333333333334,37.333333333333336,50.6,99.2,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-01,2016,2016-05-16,46,Yuba,20.666666666666668,35.77777777777778,69.2,96.4,15.887999533333332,38.05799866666667,60.59839916,100.5043976,Verona235,15.166666666666666,34,59.3,93.2,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-02,2016,2016-05-16,47,Yuba,18.444444444444443,30.666666666666668,65.2,87.2,18.11700057777778,37.35400008888889,64.61060104,99.23720016,Verona235,14.944444444444445,30.77777777777778,58.9,87.4,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-03,2016,2016-05-16,48,Yuba,17.11111111111111,30.833333333333332,62.8,87.5,17.802999494444446,34.770000455555554,64.04539909,94.58600082,Verona235,13.944444444444445,31.5,57.1,88.7,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-04,2016,2016-05-16,49,Yuba,16.055555555555557,29,60.9,84.2,17.360000611111115,35.30799865555556,63.2480011,95.55439758,Verona235,13.277777777777779,30.11111111111111,55.9,86.2,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-05,2016,2016-05-16,50,Yuba,14.777777777777779,27.722222222222225,58.6,81.9,15.279000283333334,33.071998594444445,59.50220051,91.52959747,Verona235,13.722222222222223,28.444444444444443,56.7,83.2,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-06,2016,2016-05-16,51,Yuba,13.944444444444445,27.16666666666667,57.1,80.9,14.152999877777777,31.49600028888889,57.47539978,88.69280052,Verona235,12.555555555555555,28.88888888888889,54.6,84,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-07,2016,2016-05-16,52,Yuba,14.666666666666666,27.444444444444446,58.4,81.4,14.244000433333335,30.736000061111113,57.63920078,87.32480011,Verona235,13.166666666666668,28.61111111111111,55.7,83.5,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-08,2016,2016-05-16,53,Yuba,14.000000000000002,29.61111111111111,57.2,85.3,14.269000055555555,30.905000688888883,57.6842001,87.62900124,Verona235,12.888888888888891,30.666666666666668,55.2,87.2,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-09,2016,2016-05-16,54,Yuba,17.61111111111111,27.22222222222222,63.7,81,13.871999738888892,32.75299835,56.969599530000004,90.95539703,Verona235,13.833333333333334,28.277777777777782,56.9,82.9,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-10,2016,2016-05-16,55,Yuba,12.777777777777779,26.611111111111114,55,79.9,13.531999588888889,30.843000411111106,56.35759926,87.51740074,Verona235,9.944444444444445,29.5,49.9,85.1,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-11,2016,2016-05-16,56,Yuba,13.555555555555555,33.72222222222222,56.4,92.7,12.626000405555557,29.3920002,54.72680073,84.90560036,Verona235,12.333333333333336,32.166666666666664,54.2,89.9,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-12,2016,2016-05-16,57,Yuba,14.833333333333334,32.833333333333336,58.7,91.1,14.399999616666669,32.80400085555556,57.91999931,91.04720154,Verona235,14.166666666666666,33.833333333333336,57.5,92.9,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-13,2016,2016-05-16,58,Yuba,15.166666666666666,36.388888888888886,59.3,97.5,15.321999550000003,33.34400177222222,59.57959919,92.01920319,Verona235,12.055555555555557,36.94444444444444,53.7,98.5,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-14,2016,2016-05-16,59,Yuba,17,35.44444444444444,62.6,95.8,16.26799965,36.68000030555555,61.28239937,98.02400055,Verona235,14.944444444444445,38.05555555555556,58.9,100.5,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
